Stock,Year,Month,Inventory
Commercial,1988,March,393500
Commercial,1988,April,497800
Commercial,1988,May,480500
Commercial,1988,June,554200
Commercial,1988,July,363600
Commercial,1988,August,261500
Commercial,1988,September,229500
Commercial,1988,October,248600
Commercial,1988,November,281400
Commercial,1988,December,337400
Commercial,1989,January,343000
Commercial,1989,February,356500
Commercial,1989,March,330400
Commercial,1989,April,347900
Commercial,1989,May,411900
Commercial,1989,June,421000
Commercial,1989,July,389300
Commercial,1989,August,313500
Commercial,1989,September,328300
Commercial,1989,October,307500
Commercial,1989,November,351800
Commercial,1989,December,372800
Commercial,1990,January,599400
Commercial,1990,February,565900
Commercial,1990,March,640800
Commercial,1990,April,445400
Commercial,1990,May,502400
Commercial,1990,June,629200
Commercial,1990,July,593000
Commercial,1990,August,501400
Commercial,1990,September,446300
Commercial,1990,October,394300
Commercial,1990,November,519000
Commercial,1990,December,741100
Commercial,1991,January,655600
Commercial,1991,February,639800
Commercial,1991,March,564000
Commercial,1991,April,582800
Commercial,1991,May,646700
Commercial,1991,June,627900
Commercial,1991,July,603400
Commercial,1991,August,560800
Commercial,1991,September,410400
Commercial,1991,October,403100
Commercial,1991,November,491300
Commercial,1991,December,515700
Commercial,1992,January,535300
Commercial,1992,February,448300
Commercial,1992,March,453300
Commercial,1992,April,435600
Commercial,1992,May,465600
Commercial,1992,June,494300
Commercial,1992,July,432900
Commercial,1992,August,395200
Commercial,1992,September,365400
Commercial,1992,October,291500
Commercial,1992,November,350000
Commercial,1992,December,422700
Commercial,1993,January,449000
Commercial,1993,February,415700
Commercial,1993,March,336300
Commercial,1993,April,412800
Commercial,1993,May,488900
Commercial,1993,June,476400
Commercial,1993,July,460400
Commercial,1993,August,393300
Commercial,1993,September,314400
Commercial,1993,October,290400
Commercial,1993,November,352000
Commercial,1993,December,472400
Commercial,1994,January,418400
Commercial,1994,February,405400
Commercial,1994,March,371300
Commercial,1994,April,424100
Commercial,1994,May,482100
Commercial,1994,June,513800
Commercial,1994,July,431100
Commercial,1994,August,373900
Commercial,1994,September,317100
Commercial,1994,October,320700
Commercial,1994,November,427100
Commercial,1994,December,438800
Commercial,1995,January,416400
Commercial,1995,February,406400
Commercial,1995,March,373500
Commercial,1995,April,411500
Commercial,1995,May,447600
Commercial,1995,June,494200
Commercial,1995,July,375700
Commercial,1995,August,241900
Commercial,1995,September,126800
Commercial,1995,October,171800
Commercial,1995,November,285000
Commercial,1995,December,330700
Commercial,1996,January,325100
Commercial,1996,February,306000
Commercial,1996,March,272200
Commercial,1996,April,288300
Commercial,1996,May,379700
Commercial,1996,June,393800
Commercial,1996,July,362400
Commercial,1996,August,327000
Commercial,1996,September,312700
Commercial,1996,October,322600
Commercial,1996,November,427900
Commercial,1996,December,470200
Commercial,1997,January,465600
Commercial,1997,February,417600
Commercial,1997,March,390900
Commercial,1997,April,374800
Commercial,1997,May,421700
Commercial,1997,June,439200
Commercial,1997,July,394800
Commercial,1997,August,348400
Commercial,1997,September,292300
Commercial,1997,October,324600
Commercial,1997,November,464900
Commercial,1997,December,528700
Commercial,1998,January,448200
Commercial,1998,February,397400
Commercial,1998,March,408100
Commercial,1998,April,521000
Commercial,1998,May,534400
Commercial,1998,June,524100
Commercial,1998,July,419800
Commercial,1998,August,334300
Commercial,1998,September,325800
Commercial,1998,October,305400
Commercial,1998,November,358900
Commercial,1998,December,500400
Commercial,1999,January,414500
Commercial,1999,February,389700
Commercial,1999,March,303900
Commercial,1999,April,359200
Commercial,1999,May,503500
Commercial,1999,June,488100
Commercial,1999,July,461500
Commercial,1999,August,511500
Commercial,1999,September,401900
Commercial,1999,October,436800
Commercial,1999,November,488900
Commercial,1999,December,540000
Commercial,2000,January,488200
Commercial,2000,February,420600
Commercial,2000,March,381000
Commercial,2000,April,441200
Commercial,2000,May,509600
Commercial,2000,June,485500
Commercial,2000,July,456800
Commercial,2000,August,360000
Commercial,2000,September,326400
Commercial,2000,October,410800
Commercial,2000,November,410300
Commercial,2000,December,471900
Commercial,2001,January,492400
Commercial,2001,February,487100
Commercial,2001,March,485600
Commercial,2001,April,502700
Commercial,2001,May,610100
Commercial,2001,June,631000
Commercial,2001,July,498100
Commercial,2001,August,408700
Commercial,2001,September,424100
Commercial,2001,October,440300
Commercial,2001,November,524700
Commercial,2001,December,524500
Commercial,2002,January,473500
Commercial,2002,February,429100
Commercial,2002,March,404800
Commercial,2002,April,431400
Commercial,2002,May,482100
Commercial,2002,June,479900
Commercial,2002,July,386000
Commercial,2002,August,336900
Commercial,2002,September,295800
Commercial,2002,October,326900
Commercial,2002,November,488800
Commercial,2002,December,459900
Commercial,2003,January,552500
Commercial,2003,February,497500
Commercial,2003,March,461400
Commercial,2003,April,494200
Commercial,2003,May,562000
Commercial,2003,June,526500
Commercial,2003,July,467600
Commercial,2003,August,394200
Commercial,2003,September,334800
Commercial,2003,October,403300
Commercial,2003,November,519200
Commercial,2003,December,533600
Commercial,2004,January,515500
Commercial,2004,February,480800
Commercial,2004,March,391500
Commercial,2004,April,467400
Commercial,2004,May,551300
Commercial,2004,June,469100
Commercial,2004,July,406700
Commercial,2004,August,323000
Commercial,2004,September,266400
Commercial,2004,October,364200
Commercial,2004,November,492100
Commercial,2004,December,512200
Commercial,2005,January,438700
Commercial,2005,February,404100
Commercial,2005,March,294200
Commercial,2005,April,381600
Commercial,2005,May,458500
Commercial,2005,June,434300
Commercial,2005,July,348200
Commercial,2005,August,310800
Commercial,2005,September,255700
Commercial,2005,October,317800
Commercial,2005,November,413600
Commercial,2005,December,482700
Commercial,2006,January,433500
Commercial,2006,February,392100
Commercial,2006,March,358000
Commercial,2006,April,470200
Commercial,2006,May,482100
Commercial,2006,June,478800
Commercial,2006,July,419600
Commercial,2006,August,367800
Commercial,2006,September,319500
Commercial,2006,October,355300
Commercial,2006,November,424000
Commercial,2006,December,447400
Commercial,2007,January,373600
Commercial,2007,February,330800
Commercial,2007,March,320800
Commercial,2007,April,345600
Commercial,2007,May,452600
Commercial,2007,June,402600
Commercial,2007,July,372600
Commercial,2007,August,275200
Commercial,2007,September,233600
Commercial,2007,October,331500
Commercial,2007,November,377300
Commercial,2007,December,456900
Commercial,2008,January,457400
Commercial,2008,February,432200
Commercial,2008,March,410800
Commercial,2008,April,341000
Commercial,2008,May,499500
Commercial,2008,June,456900
Commercial,2008,July,390100
Commercial,2008,August,347800
Commercial,2008,September,360200
Commercial,2008,October,400500
Commercial,2008,November,539400
Commercial,2008,December,514300
Commercial,2009,January,425100
Commercial,2009,February,370200
Commercial,2009,March,357500
Commercial,2009,April,386600
Commercial,2009,May,443600
Commercial,2009,June,446900
Commercial,2009,July,418600
Commercial,2009,August,361900
Commercial,2009,September,386700
Commercial,2009,October,416500
Commercial,2009,November,464700
Commercial,2009,December,461700
Commercial,2010,January,442600
Commercial,2010,February,393900
Commercial,2010,March,384400
Commercial,2010,April,422400
Commercial,2010,May,459400
Commercial,2010,June,459000
Commercial,2010,July,424000
Commercial,2010,August,479600
Commercial,2010,September,380900
Commercial,2010,October,483500
Commercial,2010,November,693100
Commercial,2010,December,698900
Commercial,2011,January,551200
Commercial,2011,February,543300
Commercial,2011,March,455200
Commercial,2011,April,616200
Commercial,2011,May,699200
Commercial,2011,June,736500
Commercial,2011,July,687300
Commercial,2011,August,596700
Commercial,2011,September,483800
Commercial,2011,October,644600
Commercial,2011,November,713100
Commercial,2011,December,711300
Commercial,2012,January,604200
Commercial,2012,February,606600
Commercial,2012,March,422800
Commercial,2012,April,530800
Commercial,2012,May,799600
Commercial,2012,June,750393
Commercial,2012,July,561917
Commercial,2012,August,487300
Commercial,2012,September,391900
Commercial,2012,October,559600
Commercial,2012,November,782800
Commercial,2012,December,690600
Commercial,2013,January,621700
Commercial,2013,February,556200
Commercial,2013,March,511800
Commercial,2013,April,673300
Commercial,2013,May,799900
Commercial,2013,June,716400
Commercial,2013,July,684790
Commercial,2013,August,584600
Commercial,2013,September,498610
Commercial,2013,October,477200
Commercial,2013,November,636900
Commercial,2013,December,755000
Commercial,2014,January,582962
Commercial,2014,February,474170
Commercial,2014,March,376481
Commercial,2014,April,475365
Commercial,2014,May,727350
Commercial,2014,June,817464
Commercial,2014,July,689218
Commercial,2014,August,579479
Commercial,2014,September,439271
Commercial,2014,October,521988
Commercial,2014,November,902820
Commercial,2014,December,977855
Commercial,2015,January,811850
Commercial,2015,February,769860
Commercial,2015,March,744950
Commercial,2015,April,801490
Commercial,2015,May,1066180
Commercial,2015,June,1108650
Commercial,2015,July,840760
Commercial,2015,August,716630
Commercial,2015,September,581600
Commercial,2015,October,666050
Commercial,2015,November,882140
Commercial,2015,December,975690
Commercial,2016,January,965370
Commercial,2016,February,942380
Commercial,2016,March,706410
Commercial,2016,April,1005550
Commercial,2016,May,1042450
Commercial,2016,June,994660
Commercial,2016,July,838810
Commercial,2016,August,621590
Commercial,2016,September,522450
Commercial,2016,October,787910
Commercial,2016,November,1078840
Commercial,2016,December,1096690
Commercial,2017,January,948050
Commercial,2017,February,685960
Commercial,2017,March,626928
Commercial,2017,April,907357
Commercial,2017,May,1453098
Commercial,2017,June,1288278
Commercial,2017,July,1198104
Commercial,2017,August,1170970
Commercial,2017,September,668290
Commercial,2017,October,704949
Commercial,2017,November,982910
Commercial,2017,December,1056220
Commercial,2018,January,857280
Commercial,2018,February,646560
Commercial,2018,March,553345
Commercial,2018,April,794377
Commercial,2018,May,1516028
Commercial,2018,June,1263594
Commercial,2018,July,945100
Commercial,2018,August,673234
Commercial,2018,September,446730
Commercial,2018,October,602301
Commercial,2018,November,1338841
Commercial,2018,December,1089173
Commercial,2019,January,1205210
Commercial,2019,February,811196
Commercial,2019,March,695840
Commercial,2019,April,875239
Commercial,2019,May,1123813
Commercial,2019,June,998229
Commercial,2019,July,1099672
Commercial,2019,August,880146
Commercial,2019,September,759744
Commercial,2019,October,832544
Commercial,2019,November,981693
Commercial,2019,December,1009720
Commercial,2020,January,951634
Commercial,2020,February,841150
Commercial,2020,March,715810
Commercial,2020,April,709550
Commercial,2020,May,940890
Commercial,2020,June,891403
Commercial,2020,July,808547
Commercial,2020,August,729946
Commercial,2020,September,744000
Commercial,2020,October,951180
Commercial,2020,November,963516
Commercial,2020,December,794714
Commercial,2021,January,689961
Commercial,2021,February,708936.02
Commercial,2021,March,584655.88
Commercial,2021,April,738160
Commercial,2021,May,918668.35
Commercial,2021,June,1173281.49
Commercial,2021,July,986310
Commercial,2021,August,648399.23
Commercial,2021,September,543023.9
Commercial,2021,October,728694.67
Commercial,2021,November,841738.07
Commercial,2021,December,831165.69
Commercial,2022,January,659563.81
Commercial,2022,February,545273.25
Commercial,2022,March,611330
Commercial,2022,April,997408.49
Commercial,2022,May,880938.44
Commercial,2022,June,865640
Commercial,2022,July,809827.27
Commercial,2022,August,707200
Commercial,2022,September,628160.3
Commercial,2022,October,798116.6
Commercial,2022,November,1038010
Commercial,2022,December,933010
Commercial,2023,January,651930
Commercial,2023,February,541210
Commercial,2023,March,494252.94
Commercial,2023,April,728730.7
Commercial,2023,May,787970.99
Commercial,2023,June,848107.9
Commercial,2023,July,984761.41
Commercial,2023,August,945096.67
Commercial,2023,September,902290.44
Commercial,2023,October,1080905.36
Commercial,2023,November,901106.38
Commercial,2023,December,851875.81
Commercial,2024,January,978002.26
Commercial,2024,February,778887.55
Commercial,2024,March,630285.38
Commercial,2024,April,876590
Commercial,2024,May,1142655.42
Commercial,2024,June,1328853.71
Commercial,2024,July,1324469.14
Commercial,2024,August,1165003.64
Commercial,2024,September,1050261.77
Commercial,2024,October,1210759.99
Commercial,2024,November,1418557.09
Commercial,2024,December,1514261.25
Commercial,2025,January,860797.99
Commercial,2025,February,922495.98
Commercial,2025,March,527777.55
Commercial,2025,April,820838.11
Commercial,2025,May,803439.85
Commercial,2025,June,814385.31
Commercial,2025,July,NA
Commercial,2025,August,NA
Commercial,2025,September,NA
Commercial,2025,October,NA
Commercial,2025,November,NA
Commercial,2025,December,NA
NFA,1980,January,726400
NFA,1980,February,775300
NFA,1980,March,765300
NFA,1980,April,750000
NFA,1980,May,757600
NFA,1980,June,759000
NFA,1980,July,742200
NFA,1980,August,689500
NFA,1980,September,614300
NFA,1980,October,509100
NFA,1980,November,496900
NFA,1980,December,526200
NFA,1981,January,572400
NFA,1981,February,571400
NFA,1981,March,562500
NFA,1981,April,547700
NFA,1981,May,535100
NFA,1981,June,530000
NFA,1981,July,491600
NFA,1981,August,411600
NFA,1981,September,400100
NFA,1981,October,362800
NFA,1981,November,369500
NFA,1981,December,452900
NFA,1982,January,518700
NFA,1982,February,569300
NFA,1982,March,570900
NFA,1982,April,576400
NFA,1982,May,583400
NFA,1982,June,596400
NFA,1982,July,601100
NFA,1982,August,586100
NFA,1982,September,560100
NFA,1982,October,524600
NFA,1982,November,527400
NFA,1982,December,569900
NFA,1983,January,662300
NFA,1983,February,737700
NFA,1983,March,770200
NFA,1983,April,797000
NFA,1983,May,789900
NFA,1983,June,756300
NFA,1983,July,673600
NFA,1983,August,536600
NFA,1983,September,364100
NFA,1983,October,240600
NFA,1983,November,157300
NFA,1983,December,164100
NFA,1984,January,191100
NFA,1984,February,205800
NFA,1984,March,202200
NFA,1984,April,182700
NFA,1984,May,170600
NFA,1984,June,123100
NFA,1984,July,104200
NFA,1984,August,129200
NFA,1984,September,84000
NFA,1984,October,32100
NFA,1984,November,46900
NFA,1984,December,53100
NFA,1985,January,76100
NFA,1985,February,90600
NFA,1985,March,94600
NFA,1985,April,120100
NFA,1985,May,117600
NFA,1985,June,159500
NFA,1985,July,197400
NFA,1985,August,192400
NFA,1985,September,197700
NFA,1985,October,222700
NFA,1985,November,327600
NFA,1985,December,390200
NFA,1986,January,466200
NFA,1986,February,517800
NFA,1986,March,524700
NFA,1986,April,524800
NFA,1986,May,534500
NFA,1986,June,559400
NFA,1986,July,584600
NFA,1986,August,586800
NFA,1986,September,571100
NFA,1986,October,554300
NFA,1986,November,554900
NFA,1986,December,579100
NFA,1987,January,637000
NFA,1987,February,669600
NFA,1987,March,668900
NFA,1987,April,672900
NFA,1987,May,657300
NFA,1987,June,612400
NFA,1987,July,552700
NFA,1987,August,430700
NFA,1987,September,342100
NFA,1987,October,254300
NFA,1987,November,266400
NFA,1987,December,348300
NFA,1988,January,371100
NFA,1988,February,351600
NFA,1988,March,344200
NFA,1988,April,356200
NFA,1988,May,353500
NFA,1988,June,343200
NFA,1988,July,320400
NFA,1988,August,354400
NFA,1988,September,342600
NFA,1988,October,312200
NFA,1988,November,312100
NFA,1988,December,308400
NFA,1989,January,297400
NFA,1989,February,256300
NFA,1989,March,205300
NFA,1989,April,169800
NFA,1989,May,136000
NFA,1989,June,101200
NFA,1989,July,104000
NFA,1989,August,114000
NFA,1989,September,125700
NFA,1989,October,108200
NFA,1989,November,84300
NFA,1989,December,119600
NFA,1990,January,155400
NFA,1990,February,208900
NFA,1990,March,200800
NFA,1990,April,186400
NFA,1990,May,229200
NFA,1990,June,285600
NFA,1990,July,333200
NFA,1990,August,323600
NFA,1990,September,314500
NFA,1990,October,285600
NFA,1990,November,315600
NFA,1990,December,423800
NFA,1991,January,469200
NFA,1991,February,446200
NFA,1991,March,438800
NFA,1991,April,432900
NFA,1991,May,446400
NFA,1991,June,518200
NFA,1991,July,534600
NFA,1991,August,540900
NFA,1991,September,530000
NFA,1991,October,520400
NFA,1991,November,523100
NFA,1991,December,549800
NFA,1992,January,629800
NFA,1992,February,657200
NFA,1992,March,684900
NFA,1992,April,690600
NFA,1992,May,699500
NFA,1992,June,677300
NFA,1992,July,634500
NFA,1992,August,491300
NFA,1992,September,386200
NFA,1992,October,251600
NFA,1992,November,211700
NFA,1992,December,250700
NFA,1993,January,329500
NFA,1993,February,329900
NFA,1993,March,330700
NFA,1993,April,324100
NFA,1993,May,319100
NFA,1993,June,311300
NFA,1993,July,289100
NFA,1993,August,251600
NFA,1993,September,207500
NFA,1993,October,169600
NFA,1993,November,182200
NFA,1993,December,144200
NFA,1994,January,131300
NFA,1994,February,121700
NFA,1994,March,112400
NFA,1994,April,108700
NFA,1994,May,102900
NFA,1994,June,97000
NFA,1994,July,96600
NFA,1994,August,83800
NFA,1994,September,72200
NFA,1994,October,50000
NFA,1994,November,38800
NFA,1994,December,50600
NFA,1995,January,52600
NFA,1995,February,50500
NFA,1995,March,46300
NFA,1995,April,40200
NFA,1995,May,36700
NFA,1995,June,32900
NFA,1995,July,27500
NFA,1995,August,24400
NFA,1995,September,43100
NFA,1995,October,30900
NFA,1995,November,65700
NFA,1995,December,61800
NFA,1996,January,77300
NFA,1996,February,140600
NFA,1996,March,178800
NFA,1996,April,305400
NFA,1996,May,443600
NFA,1996,June,544800
NFA,1996,July,525900
NFA,1996,August,396300
NFA,1996,September,318100
NFA,1996,October,257700
NFA,1996,November,286400
NFA,1996,December,287100
NFA,1997,January,311600
NFA,1997,February,245500
NFA,1997,March,240800
NFA,1997,April,301700
NFA,1997,May,485200
NFA,1997,June,613400
NFA,1997,July,740700
NFA,1997,August,699000
NFA,1997,September,603100
NFA,1997,October,503600
NFA,1997,November,446100
NFA,1997,December,444600
NFA,1998,January,443100
NFA,1998,February,575700
NFA,1998,March,685200
NFA,1998,April,810500
NFA,1998,May,880100
NFA,1998,June,886700
NFA,1998,July,929800
NFA,1998,August,897200
NFA,1998,September,911400
NFA,1998,October,855600
NFA,1998,November,859400
NFA,1998,December,908200
NFA,1999,January,909300
NFA,1999,February,968600
NFA,1999,March,1088700
NFA,1999,April,1121300
NFA,1999,May,1161100
NFA,1999,June,1246100
NFA,1999,July,1234100
NFA,1999,August,1106100
NFA,1999,September,950400
NFA,1999,October,860700
NFA,1999,November,820500
NFA,1999,December,806900
NFA,2000,January,726600
NFA,2000,February,612200
NFA,2000,March,552500
NFA,2000,April,479300
NFA,2000,May,497900
NFA,2000,June,550100
NFA,2000,July,506300
NFA,2000,August,461900
NFA,2000,September,358000
NFA,2000,October,343900
NFA,2000,November,402900
NFA,2000,December,467800
NFA,2001,January,461100
NFA,2001,February,454600
NFA,2001,March,506900
NFA,2001,April,519100
NFA,2001,May,576900
NFA,2001,June,757100
NFA,2001,July,813500
NFA,2001,August,855900
NFA,2001,September,791300
NFA,2001,October,718600
NFA,2001,November,697800
NFA,2001,December,708300
NFA,2002,January,685500
NFA,2002,February,623300
NFA,2002,March,573500
NFA,2002,April,515200
NFA,2002,May,495900
NFA,2002,June,460700
NFA,2002,July,442300
NFA,2002,August,431400
NFA,2002,September,423000
NFA,2002,October,486600
NFA,2002,November,725000
NFA,2002,December,820900
NFA,2003,January,718200
NFA,2003,February,803800
NFA,2003,March,738800
NFA,2003,April,682200
NFA,2003,May,643000
NFA,2003,June,734900
NFA,2003,July,655900
NFA,2003,August,613800
NFA,2003,September,574100
NFA,2003,October,588500
NFA,2003,November,587100
NFA,2003,December,608600
NFA,2004,January,624300
NFA,2004,February,548800
NFA,2004,March,521000
NFA,2004,April,465900
NFA,2004,May,519700
NFA,2004,June,459200
NFA,2004,July,350300
NFA,2004,August,362200
NFA,2004,September,403500
NFA,2004,October,366900
NFA,2004,November,346400
NFA,2004,December,324400
NFA,2005,January,248200
NFA,2005,February,200500
NFA,2005,March,240900
NFA,2005,April,369900
NFA,2005,May,510700
NFA,2005,June,602500
NFA,2005,July,532800
NFA,2005,August,504000
NFA,2005,September,475700
NFA,2005,October,484900
NFA,2005,November,470300
NFA,2005,December,439000
NFA,2006,January,338400
NFA,2006,February,365900
NFA,2006,March,381300
NFA,2006,April,584100
NFA,2006,May,749500
NFA,2006,June,740200
NFA,2006,July,694800
NFA,2006,August,690500
NFA,2006,September,723000
NFA,2006,October,717400
NFA,2006,November,605700
NFA,2006,December,546900
NFA,2007,January,455200
NFA,2007,February,356700
NFA,2007,March,274100
NFA,2007,April,177300
NFA,2007,May,256200
NFA,2007,June,254000
NFA,2007,July,292800
NFA,2007,August,389300
NFA,2007,September,308700
NFA,2007,October,273700
NFA,2007,November,295300
NFA,2007,December,354700
NFA,2008,January,351900
NFA,2008,February,268500
NFA,2008,March,285700
NFA,2008,April,397600
NFA,2008,May,587800
NFA,2008,June,775700
NFA,2008,July,908600
NFA,2008,August,854600
NFA,2008,September,872200
NFA,2008,October,933400
NFA,2008,November,966900
NFA,2008,December,957300
NFA,2009,January,935100
NFA,2009,February,812800
NFA,2009,March,816100
NFA,2009,April,928600
NFA,2009,May,1062900
NFA,2009,June,1250400
NFA,2009,July,1453600
NFA,2009,August,1290700
NFA,2009,September,1242900
NFA,2009,October,1246400
NFA,2009,November,1144800
NFA,2009,December,1070900
NFA,2010,January,981100
NFA,2010,February,1008800
NFA,2010,March,969300
NFA,2010,April,1281300
NFA,2010,May,1756100
NFA,2010,June,1926000
NFA,2010,July,2037400
NFA,2010,August,2033900
NFA,2010,September,2034100
NFA,2010,October,1900600
NFA,2010,November,1817400
NFA,2010,December,1774600
NFA,2011,January,1734400
NFA,2011,February,1618800
NFA,2011,March,1540200
NFA,2011,April,1454200
NFA,2011,May,1460300
NFA,2011,June,1443400
NFA,2011,July,1509400
NFA,2011,August,1485000
NFA,2011,September,1388500
NFA,2011,October,1265800
NFA,2011,November,1180000
NFA,2011,December,1119300
NFA,2012,January,1041100
NFA,2012,February,879000
NFA,2012,March,778100
NFA,2012,April,1051100
NFA,2012,May,690200
NFA,2012,June,654867
NFA,2012,July,590388
NFA,2012,August,531600
NFA,2012,September,521500
NFA,2012,October,506200
NFA,2012,November,562800
NFA,2012,December,599700
NFA,2013,January,593300
NFA,2013,February,576000
NFA,2013,March,579300
NFA,2013,April,584300
NFA,2013,May,611800
NFA,2013,June,638900
NFA,2013,July,697400
NFA,2013,August,638400
NFA,2013,September,496400
NFA,2013,October,389000
NFA,2013,November,353900
NFA,2013,December,3.00E+05
NFA,2014,January,274844
NFA,2014,February,459310
NFA,2014,March,460380
NFA,2014,April,519125
NFA,2014,May,466494
NFA,2014,June,406850
NFA,2014,July,456207
NFA,2014,August,442075
NFA,2014,September,452806
NFA,2014,October,449211
NFA,2014,November,431245
NFA,2014,December,486031
NFA,2015,January,524050
NFA,2015,February,530950
NFA,2015,March,550860
NFA,2015,April,485400
NFA,2015,May,611210
NFA,2015,June,747410
NFA,2015,July,774470
NFA,2015,August,794370
NFA,2015,September,802600
NFA,2015,October,752680
NFA,2015,November,708310
NFA,2015,December,820650
NFA,2016,January,900450
NFA,2016,February,995820
NFA,2016,March,1081570
NFA,2016,April,1133280
NFA,2016,May,1170280
NFA,2016,June,1071680
NFA,2016,July,913520
NFA,2016,August,787970
NFA,2016,September,625210
NFA,2016,October,507930
NFA,2016,November,545990
NFA,2016,December,564180
NFA,2017,January,547460
NFA,2017,February,465255
NFA,2017,March,396969
NFA,2017,April,327235
NFA,2017,May,270184
NFA,2017,June,205232
NFA,2017,July,154963
NFA,2017,August,108692
NFA,2017,September,65540
NFA,2017,October,159349
NFA,2017,November,191860
NFA,2017,December,156620
NFA,2018,January,106859
NFA,2018,February,61400
NFA,2018,March,43528
NFA,2018,April,12235
NFA,2018,May,3477
NFA,2018,June,2076
NFA,2018,July,53300
NFA,2018,August,101153
NFA,2018,September,111102
NFA,2018,October,128432
NFA,2018,November,104435
NFA,2018,December,102136
NFA,2019,January,97911
NFA,2019,February,297616
NFA,2019,March,491940
NFA,2019,April,576185
NFA,2019,May,558143
NFA,2019,June,551058
NFA,2019,July,516917
NFA,2019,August,461030
NFA,2019,September,409532
NFA,2019,October,394710
NFA,2019,November,454077
NFA,2019,December,480658
NFA,2020,January,524938
NFA,2020,February,488682
NFA,2020,March,481810
NFA,2020,April,415313
NFA,2020,May,318196
NFA,2020,June,248333
NFA,2020,July,222566
NFA,2020,August,203845
NFA,2020,September,192465
NFA,2020,October,239886
NFA,2020,November,385619
NFA,2020,December,352977
NFA,2021,January,352523
NFA,2021,February,302482
NFA,2021,March,265320
NFA,2021,April,241170.9
NFA,2021,May,241126
NFA,2021,June,225087
NFA,2021,July,205820
NFA,2021,August,178842
NFA,2021,September,151170
NFA,2021,October,166342
NFA,2021,November,244323
NFA,2021,December,249713
NFA,2022,January,208328
NFA,2022,February,181232
NFA,2022,March,155870
NFA,2022,April,135872
NFA,2022,May,158803
NFA,2022,June,175486
NFA,2022,July,160497
NFA,2022,August,134609
NFA,2022,September,112382
NFA,2022,October,111042
NFA,2022,November,120480
NFA,2022,December,125300
NFA,2023,January,114910
NFA,2023,February,104790
NFA,2023,March,103072
NFA,2023,April,99033
NFA,2023,May,100117
NFA,2023,June,85102
NFA,2023,July,60844
NFA,2023,August,50948
NFA,2023,September,43636
NFA,2023,October,44240
NFA,2023,November,60230
NFA,2023,December,57130
NFA,2024,January,48676
NFA,2024,February,46890.3
NFA,2024,March,41285
NFA,2024,April,41559
NFA,2024,May,69350
NFA,2024,June,138273
NFA,2024,July,147199
NFA,2024,August,150739
NFA,2024,September,151156
NFA,2024,October,172644
NFA,2024,November,141677.67
NFA,2024,December,144047.67
NFA,2025,January,284812
NFA,2025,February,289178
NFA,2025,March,299857
NFA,2025,April,346447
NFA,2025,May,397206
NFA,2025,June,423656
NFA,2025,July,NA
NFA,2025,August,NA
NFA,2025,September,NA
NFA,2025,October,NA
NFA,2025,November,NA
NFA,2025,December,NA
